epoch,train_q,train_v,train_pi,val_q,val_v,val_pi
1,0.0456,0.0008,0.3965,0.0429,0.0,0.2151
2,0.0448,0.0001,0.2236,0.0459,0.0001,0.2196
3,0.0451,0.0004,0.223,0.0365,0.0003,0.2356
4,0.0399,0.001,0.2255,0.041,0.0,0.2241
5,0.04,0.0001,0.2452,0.0365,0.0,0.2225
6,0.0393,0.0005,0.2192,0.0425,0.0001,0.2234
7,0.0413,0.0004,0.2181,0.039,0.0001,0.2272
8,0.0453,0.0006,0.219,0.0442,0.0001,0.2144
9,0.0465,0.0005,0.2161,0.046,0.0001,0.2123
10,0.049,0.0007,0.2146,0.0456,0.0,0.2214
11,0.0483,0.0005,0.2145,0.0466,0.0,0.2185
12,0.0516,0.0003,0.2133,0.051,0.0001,0.2137
13,0.0548,0.0007,0.2136,0.0506,0.0001,0.2163
14,0.0543,0.0004,0.2141,0.0502,0.0001,0.2236
15,0.0528,0.0008,0.2279,0.0526,0.0001,0.2192
16,0.0563,0.0004,0.2128,0.0548,0.0001,0.2159
17,0.0572,0.0008,0.212,0.0559,0.0002,0.2077
18,0.0644,0.0003,0.2105,0.065,0.0,0.2125
19,0.0657,0.0005,0.2211,0.057,0.0002,0.2246
20,0.0565,0.0004,0.213,0.0541,0.0001,0.2085
21,0.0631,0.0004,0.2116,0.0585,0.0001,0.2136
22,0.0616,0.0004,0.2168,0.0601,0.0003,0.1943
23,0.0668,0.0011,0.2119,0.0652,0.0,0.2138
24,0.0672,0.0005,0.2106,0.0635,0.0,0.2121
25,0.0657,0.0009,0.2111,0.0646,0.0001,0.2098
26,0.0697,0.0005,0.2189,0.0665,0.0,0.2146
27,0.0696,0.0003,0.2101,0.0681,0.0001,0.2132
28,0.0702,0.0006,0.2125,0.0643,0.0001,0.2117
29,0.0662,0.0003,0.217,0.0609,0.0002,0.2224
30,0.0643,0.0017,0.212,0.0599,0.0001,0.2209
